,uri,first_artist_name,track_name,track_duration_ms,track_popularity,is_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
RapCaviar_37,spotify:track:7k5lDslyLbcykzUOPGEdKR,Young Dolph,Love For The Streets,186200,66,True,0.799,0.733,2,-6.234,1,0.216,0.172,1.7e-05,0.332,0.753,146.051,4
RapCaviar_38,spotify:track:5gAwpwuchaCGnJLlBMGBzp,NLE Choppa,Do It Again (feat. 2Rare),213206,77,True,0.806,0.64,11,-7.398,0,0.317,0.0864,0,0.201,0.716,160.054,4
RapCaviar_39,spotify:track:5R5UNKWsmMPpFq5JHK93Fw,Rae Sremmurd,Torpedo,240967,67,True,0.84,0.63,11,-5.671,0,0.0579,0.000502,0.00136,0.128,0.14,123.994,4
RapCaviar_40,spotify:track:4CCrZzRdeWYrWJ0DoN4XCa,TiaCorine,FreakyT,134322,68,True,0.806,0.542,0,-7.482,0,0.064,0.241,0.000494,0.113,0.14,142.881,4
RapCaviar_41,spotify:track:7ppUTKvokd4vQ68TNAxuZk,Eem Triplin,JUST FRIENDS ?,163892,67,True,0.642,0.282,1,-15.018,1,0.4,0.351,0,0.264,0.161,147.022,4
RapCaviar_42,spotify:track:3zkyus0njMCL6phZmNNEeN,Central Cee,LET GO,174246,89,True,0.735,0.449,2,-9.933,0,0.383,0.859,0,0.213,0.514,146.016,4
RapCaviar_43,spotify:track:4ZevD501qZiFK7FY8DFn0V,Don Toliver,Do It Right,174474,70,True,0.662,0.515,5,-6.867,1,0.199,0.458,0,0.163,0.386,69.808,4
RapCaviar_44,spotify:track:7B09THlbQE2RndpgXeXQYE,Gucci Mane,Letter to Takeoff,217872,61,True,0.808,0.478,5,-8.63,0,0.381,0.375,0,0.0761,0.335,140.958,4
RapCaviar_45,spotify:track:6aGpM4DXts4pdRhVKbRYuk,Lola Brooke,Don't Play With It (feat. Billy B),131052,71,True,0.763,0.726,1,-5.61,1,0.109,0.00377,0,0.0719,0.327,99.042,4
RapCaviar_46,spotify:track:4ZyivnzrvDWRjihgqxvXK8,DaBaby,JOC IN '06,170434,66,True,0.857,0.524,1,-11.931,1,0.279,0.0255,0,0.336,0.379,137.943,4
RapCaviar_47,spotify:track:6clDsO8HwhHEgJDDp88VdL,Cordae,Two Tens (feat. Anderson .Paak),152371,73,True,0.603,0.546,4,-7.525,0,0.35,0.194,2.68e-06,0.0783,0.667,87.99,4
RapCaviar_48,spotify:track:6IyoLWzljeR3ldQo4KWHT6,Yeat,Out thë way,150241,81,True,0.767,0.628,4,-7.41,0,0.242,0.21,8.79e-06,0.275,0.798,128.07,4
RapCaviar_49,spotify:track:7ezboaARv4FY1k0WFoINWC,NLE Choppa,Champions,242000,66,False,0.647,0.65,1,-7.396,1,0.0771,0.171,0,0.106,0.377,132.997,4
Rock This_0,spotify:track:7HdXRMw14roDx2a0COWk3M,Paramore,This Is Why,206700,64,False,0.728,0.76,11,-6.884,0,0.0396,0.00433,0.00585,0.13,0.674,123.045,4
Rock This_1,spotify:track:5xJlzQiPLYkvlqkRPKzBwD,Pierce The Veil,Emergency Contact,240000,64,True,0.541,0.826,3,-4.214,1,0.0361,0.000469,0,0.711,0.402,113.03,4
Rock This_2,spotify:track:44Xyja7xYPlVC6v2CeweSi,Måneskin,GOSSIP (feat. Tom Morello),168280,74,True,0.704,0.819,9,-2.974,1,0.0626,0.00176,0,0.094,0.914,139.921,4
Rock This_3,spotify:track:3L4MAUb1N2dsAludyS8ra8,YONAKA,PANIC,174259,53,True,0.552,0.681,0,-5.957,1,0.0353,0.00465,0,0.397,0.815,147.96,4
Rock This_4,spotify:track:7Gm1XwQL5q72SX76nxuXtW,Fall Out Boy,Love From The Other Side - Edit,247320,67,False,0.449,0.932,9,-5.314,1,0.101,0.000219,7.96e-05,0.106,0.424,158.031,4
Rock This_5,spotify:track:4SOtTsuFYYlkOOvXMbroUv,All Time Low,Sleepwalking,187140,63,False,0.424,0.682,11,-3.194,0,0.035,0.0248,0,0.0918,0.58,176.014,4
Rock This_6,spotify:track:2Yyf3awGJQnm70qSVoA9In,PVRIS,GODDESS,152133,58,True,0.709,0.848,9,-4.671,1,0.0778,0.0145,0.00305,0.0574,0.845,120.029,4
Rock This_7,spotify:track:373gDROnujxNTFa1FojYIl,Linkin Park,Lost,199342,74,False,0.596,0.798,0,-4.63,1,0.0285,0.00412,0,0.338,0.459,105.01,4
Rock This_8,spotify:track:0NbeWXqyar63pQGA4G7Jf2,ThxSoMch,CAROLINE,192951,62,True,0.622,0.72,8,-8.114,1,0.0299,0.0868,1.69e-06,0.119,0.455,89.872,4
Rock This_9,spotify:track:2UMeGWmUri9RVpmckPV9Jt,Meet Me @ The Altar,Say It (To My Face),159308,54,False,0.509,0.905,7,-4.902,1,0.0708,0.00152,0.000613,0.654,0.656,165.068,4
Rock This_10,spotify:track:3HFvMIvCBNGkypFCQUHjyV,Barns Courtney,Supernatural,167287,64,False,0.579,0.846,0,-3.929,0,0.0329,0.0265,0,0.0418,0.612,98.019,4
Rock This_11,spotify:track:6j6OD4QQ2jRuvss0ssZSOK,White Reaper,Pages,154098,54,False,0.531,0.735,1,-5.405,1,0.0305,0.00021,0,0.0578,0.439,117.005,4
Rock This_12,spotify:track:1dB0NylVkpjdOe8DiekIs7,Turnstile,HOLIDAY,172020,60,False,0.537,0.858,10,-7.743,1,0.0428,0.00188,0.658,0.0716,0.323,154.996,4
Rock This_13,spotify:track:720C8mWrqRdh1zYBGqLj9p,Ghost,Spillways [Feat. Joe Elliott],199809,61,False,0.578,0.835,8,-5.307,1,0.0313,0.000562,2.82e-05,0.0599,0.926,128.095,4
Rock This_14,spotify:track:1ePGHhSQ9jkLrB21899YOa,Royal & the Serpent,Love Abuser (Save Me),187460,58,True,0.308,0.824,8,-2.975,1,0.0636,0.000188,0,0.0654,0.455,167.203,4
Rock This_15,spotify:track:1H4Y9uW4N0LsxJUz0VnaPJ,Bad Omens,Just Pretend,204676,74,False,0.457,0.834,5,-4.674,0,0.0817,0.00252,0.00125,0.1,0.201,140.032,4
Rock This_16,spotify:track:0pSD4mNrtYtiUk4vpabJA8,Sleep Token,The Summoning,395716,50,False,0.387,0.699,10,-5.464,0,0.0453,0.00192,0.00992,0.0549,0.14,172.913,4
Rock This_17,spotify:track:2orIpa9dzNtsqyKjdts0f1,You Me At Six,:mydopamine:,213400,41,False,0.495,0.748,6,-5.065,1,0.0365,0.0165,0.00263,0.0979,0.547,106.017,4
Rock This_18,spotify:track:2wVWGFVkL5I3JGsoWBx2AZ,blink-182,EDGING,151533,68,True,0.606,0.905,5,-3.117,1,0.0518,0.0044,0,0.151,0.706,143.952,4
