,uri,first_artist_name,track_name,track_duration_ms,track_popularity,is_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Hot Country_26,spotify:track:3sT4lmGZF9Gy6XaLYvwH7A,Restless Road,Sundown Somewhere,162841,66,False,0.602,0.892,11,-4.394,1,0.0333,0.0425,1.03e-06,0.172,0.709,114.034,4
Hot Country_27,spotify:track:3nei8eHEdiwwSfyoOCHPZI,Kylie Morgan,If He Wanted To He Would,174173,71,False,0.655,0.617,0,-4.716,1,0.026,0.0998,0,0.211,0.734,90.015,4
Hot Country_28,spotify:track:6kCFt2ATuMIE5H9zVEJXei,Jason Aldean,That's What Tequila Does,189306,68,False,0.522,0.801,5,-5.424,1,0.1,0.224,0,0.301,0.491,155.928,3
Hot Country_29,spotify:track:2DvOwcQd7RB5IV7MdlwpvN,Ella Langley,Damn You,183413,67,False,0.58,0.881,4,-3.004,1,0.042,0.0508,0,0.106,0.384,76.989,4
Hot Country_30,spotify:track:7ETjhPaIU4UmHOiimJBZz9,Jon Pardi,Your Heart Or Mine,161200,69,False,0.639,0.713,5,-4.368,0,0.0337,0.0539,0,0.102,0.717,86.1,4
Hot Country_31,spotify:track:68i0Y8xMaYxLHSeUu4uWtA,49 Winchester,Russell County Line,249872,67,False,0.635,0.318,2,-9.053,1,0.0347,0.169,2.43e-05,0.103,0.395,95.056,4
Hot Country_32,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,228013,85,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3
Hot Country_33,spotify:track:5OLaVCAM2pqg7X9mAM2W8M,Carly Pearce,What He Didn't Do,191226,71,False,0.628,0.632,9,-5.932,1,0.0325,0.257,0,0.288,0.559,137.854,4
Hot Country_34,spotify:track:7trjNYF5ek7zX4GKSHQZbP,HARDY,wait in the truck (feat. Lainey Wilson),277659,73,False,0.534,0.466,6,-6.98,1,0.0272,0.277,0,0.0979,0.23,140.0,4
Hot Country_35,spotify:track:1pbUfl4W9KtQ5hNkT6RiXp,Zac Brown Band,Out In The Middle,166300,66,False,0.516,0.867,1,-3.139,1,0.0328,0.0237,0,0.106,0.615,166.031,4
Hot Country_36,spotify:track:4iy69rTUn8cAY8Q8q9vfOw,Dierks Bentley,Gold,167760,67,False,0.674,0.873,1,-4.256,1,0.0285,0.0482,0,0.18,0.946,115.01,4
Hot Country_37,spotify:track:6BWOWBSalJEp7woRZSyiMb,Miranda Lambert,Strange,211226,67,False,0.723,0.633,6,-6.982,1,0.0332,0.0551,1.93e-05,0.0665,0.498,112.022,4
Hot Country_38,spotify:track:4viFAHmivkYQKkwLvwKOgg,Sam Hunt,Water Under The Bridge,169760,68,False,0.635,0.866,5,-2.695,1,0.0473,0.0697,0,0.0955,0.853,133.889,4
Hot Country_39,spotify:track:0JlPeDabMkPpmC9W7TI3BM,Tanner Adell,Love You a Little Bit,210813,65,False,0.61,0.868,1,-4.098,0,0.0351,0.0401,0,0.121,0.765,137.943,4
Hot Country_40,spotify:track:5JLf54f83nJrxD4IhFaLl7,Keith Urban,Brown Eyes Baby,224333,67,False,0.521,0.833,8,-6.992,1,0.0313,0.0906,3.13e-06,0.0647,0.581,141.944,4
Hot Country_41,spotify:track:0EAzZ4aKlERuRmAYIXcRX6,ERNEST,Songs We Used To Sing,185730,65,False,0.359,0.579,4,-5.752,1,0.0282,0.434,0,0.104,0.274,89.721,4
Hot Country_42,spotify:track:4oGCfTHN1hmXGy5mqmJVc3,Carrie Underwood,Hate My Heart,183573,66,False,0.524,0.923,7,-3.53,1,0.085,0.00958,0,0.102,0.318,149.972,4
Hot Country_43,spotify:track:5AihIu9yF3flkw1jFMyfwW,Cody Johnson,Human,221520,70,False,0.4,0.647,2,-7.279,1,0.0337,0.176,5.79e-05,0.11,0.274,84.08,4
Hot Country_44,spotify:track:6KGtAlYvgm4W9PoYabFAYE,Morgan Wallen,One Thing At A Time,206864,77,False,0.614,0.913,7,-5.126,1,0.0296,0.0042,1.72e-06,0.26,0.92,141.982,4
Hot Country_45,spotify:track:3fl4zil6HJ0N1FL3YIRwdC,Megan Moroney,Tennessee Orange,223119,75,False,0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,3
Hot Country_46,spotify:track:1vscizuuPwkwC1cc5N5KQV,Jackson Dean,Don't Come Lookin',187957,66,False,0.529,0.858,9,-6.015,1,0.0536,0.0115,2.91e-05,0.345,0.676,156.129,4
Hot Country_47,spotify:track:16Sdmdt7jpibASwEsO0s9j,Elle King,Worth A Shot (feat. Dierks Bentley),211933,67,False,0.554,0.809,0,-4.893,1,0.039,0.00481,0.00156,0.111,0.462,159.989,4
Hot Country_48,spotify:track:4NdJlsPyvXz15LySCNoL2W,Shania Twain,Giddy Up!,162665,71,False,0.779,0.692,3,-3.59,0,0.0598,0.0024,0,0.482,0.67,103.99,4
Hot Country_49,spotify:track:3knS4WXNNRBd3zkx2v78cx,Blake Shelton,No Body,187640,67,False,0.739,0.72,4,-6.695,1,0.026,0.0379,0.00267,0.23,0.892,102.997,4
Viva Latino_0,spotify:track:6Rpbzk2LC8xWZI93RyodAq,Ozuna,Hey Mor,196600,82,False,0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,4
Viva Latino_1,spotify:track:2oiixB9QMIzhWaHGVlQx4g,Yandel,Yandel 150,216148,88,True,0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,4
Viva Latino_2,spotify:track:3Zyk5Vd9WNPNVWxvb0EZTk,KAROL G,X SI VOLVEMOS,203360,82,True,0.793,0.78,1,-4.247,0,0.249,0.341,0,0.111,0.576,178.046,4
Viva Latino_3,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945,96,False,0.778,0.632,2,-5.6,0,0.0493,0.274,0,0.0915,0.498,122.104,4
Viva Latino_4,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,Peso Pluma,PRC,184066,84,True,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,3
Viva Latino_5,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,162637,92,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4
Viva Latino_6,spotify:track:5MxFWjuqQIsbNWbMdMdbli,Arcángel,La Jumpa,255693,88,True,0.713,0.703,8,-5.769,1,0.194,0.298,0,0.321,0.576,123.06,4
Viva Latino_7,spotify:track:6WbAhuwE6fCOriBu5786X1,KAROL G,CAIRO,201280,86,True,0.951,0.692,5,-4.038,0,0.312,0.472,0.000182,0.0894,0.431,115.047,4
Viva Latino_8,spotify:track:2SiAcexM2p1yX6joESbehd,ROSALÍA,LLYLM,174044,83,False,0.555,0.634,6,-5.522,0,0.273,0.129,2.32e-06,0.188,0.555,170.228,4
Viva Latino_9,spotify:track:0mzsLrUNazBaRfYZfjmpSV,Fuerza Regida,Bebe Dame,271861,86,False,0.537,0.602,7,-4.631,1,0.0458,0.296,0,0.0715,0.753,157.437,4
Viva Latino_10,spotify:track:0CYTGMBYkwUxrj1MWDLrC5,Feid,CHORRITO PA LAS ANIMAS,168133,86,True,0.743,0.831,8,-4.042,0,0.0584,0.114,6.43e-05,0.35,0.609,95.975,4
Viva Latino_11,spotify:track:5S8i9p2xS8M8pFqfZMbMzI,Rauw Alejandro,RON COLA,186722,72,True,0.739,0.682,9,-5.121,0,0.0972,0.417,3.95e-05,0.105,0.476,94.048,4
Viva Latino_12,spotify:track:6G12ZafqofSq7YtrMqUm76,Shakira,Monotonía,158804,87,False,0.873,0.695,0,-4.207,0,0.0459,0.419,1.23e-06,0.211,0.823,131.963,4
Viva Latino_13,spotify:track:5Fh9fyHRnSwKLo4asG6fEX,Maluma,La Fórmula,267016,72,False,0.574,0.925,8,-3.729,0,0.0648,0.407,0,0.259,0.905,95.738,4
Viva Latino_14,spotify:track:2caVKAWz7oM5Hw3LDWWVnQ,Ovy On The Drums,CHAO BEBE,206499,77,True,0.869,0.74,5,-4.699,0,0.108,0.649,7.95e-06,0.135,0.598,117.949,4
Viva Latino_15,spotify:track:5fhcuVxuBWfgNXGuyAtLmr,Piso 21,Los Cachos,212304,77,False,0.774,0.73,0,-3.865,1,0.134,0.108,0,0.194,0.421,91.966,4
Viva Latino_16,spotify:track:54ELExv56KCAB4UP9cOCzC,Ñengo Flow,Gato de Noche,227013,88,True,0.892,0.662,8,-3.894,1,0.162,0.169,1.24e-06,0.363,0.607,93.976,4
Viva Latino_17,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",198937,91,False,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4
Viva Latino_18,spotify:track:0oBtwScT4B4BR5kZitNWd5,Quevedo,PUNTO G,151324,85,False,0.751,0.761,11,-4.113,0,0.15,0.251,0.000238,0.0991,0.553,92.032,4
Viva Latino_19,spotify:track:40vzZFWG1h60TdZPuxuX3Y,Christian Nodal,Por el Resto de Tu Vida,197476,77,False,0.781,0.662,0,-3.825,1,0.0336,0.355,0,0.161,0.686,91.999,4
Viva Latino_20,spotify:track:0NO2zL0kw8sGGnaMvHKAZF,Cris Mj,Marisola - Remix,237473,85,True,0.765,0.872,1,-5.863,1,0.0498,0.173,5.65e-06,0.0749,0.722,94.999,4
Viva Latino_21,spotify:track:1PAvhqefivTNdxZ4u8RT1d,TINI,Muñecas,156318,81,False,0.681,0.711,10,-4.79,0,0.0846,0.0278,0,0.312,0.826,89.89,4
Viva Latino_22,spotify:track:35ns1WEurw3MVlHJjHwNWQ,Anuel AA,La Máquina,296906,76,True,0.799,0.775,11,-5.869,1,0.077,0.0308,0.00526,0.309,0.605,95.027,4
Viva Latino_23,spotify:track:3QWCxOv2YharMus6KbfiPJ,Emilia,Underground,149471,72,True,0.803,0.818,4,-3.232,0,0.066,0.149,0.00471,0.0653,0.82,90.999,4
Viva Latino_24,spotify:track:5qP24CrDI0rmY5zwRvUfzU,Quevedo,AHORA QUÉ,171428,80,False,0.447,0.765,2,-5.457,0,0.0943,0.212,0,0.128,0.542,101.545,3
Viva Latino_25,spotify:track:5ildQOEKmJuWGl2vRkFdYc,ROSALÍA,DESPECHÁ,157017,84,False,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,4
Viva Latino_26,spotify:track:1DxEbt6OSbrkRthk6pjZue,LiL CaKe,MERCHO,161451,80,False,0.838,0.79,6,-1.602,0,0.108,0.431,3.33e-06,0.184,0.962,92.927,4
Viva Latino_27,spotify:track:1lRtH4FszTrwwlK5gTSbXO,Natanael Cano,AMG,174942,87,True,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,3
Viva Latino_28,spotify:track:4EQOGfssbSpTlV6EZRtrSv,Myke Towers,ULALA (OOH LA LA),188009,82,True,0.872,0.681,0,-4.348,0,0.11,0.0462,1.38e-05,0.129,0.481,96.986,4
Viva Latino_29,spotify:track:6OzUIp8KjuwxJnCWkXp1uL,Wisin & Yandel,Besos Moja2,229064,84,False,0.736,0.727,5,-4.642,0,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,4
Viva Latino_30,spotify:track:6Um358vY92UBv5DloTRX9L,Carin Leon,Que Vuelvas,169418,87,False,0.491,0.643,10,-4.309,1,0.0442,0.187,0,0.109,0.779,162.469,4
Viva Latino_31,spotify:track:2X8AGLwb9F0JzJ9zT27a22,Manuel Turizo,Éxtasis,191606,76,False,0.829,0.747,7,-3.511,1,0.149,0.276,0,0.339,0.576,98.03,4
Viva Latino_32,spotify:track:3HMlb6Dh9OGr3CjV6IwjEP,Mike Bahía,De Qué Manera,193125,68,False,0.756,0.735,7,-6.178,1,0.0668,0.692,0,0.0715,0.558,92.028,4
Viva Latino_33,spotify:track:0Dl34Kegtc0y0m0oPhQfiI,Maria Becerra,LA NENA DE ARGENTINA,151988,78,True,0.531,0.58,5,-4.688,0,0.188,0.0984,0.000201,0.101,0.887,169.865,4
Viva Latino_34,spotify:track:2TDyyEBasw10wu5Uh94bR1,Rauw Alejandro,PUNTO 40,190654,81,True,0.873,0.826,0,-0.722,1,0.0876,0.00127,0.0361,0.311,0.201,106.972,4
Viva Latino_35,spotify:track:3fjN3y5x4hN53rykAN2LHQ,Rels B,cómo dormiste?,112572,82,True,0.627,0.429,1,-8.255,1,0.234,0.238,0,0.122,0.565,126.426,5
Viva Latino_36,spotify:track:5NxhMcHSVY3Z7ykWxZf3aj,Jhayco,En La De Ella,230653,80,False,0.816,0.77,1,-5.477,1,0.0538,0.0798,0,0.118,0.671,96.99,4
Viva Latino_37,spotify:track:7EyGZtJuOckQfMDJL1PPrH,Paulo Londra,Por Deporte,169560,71,False,0.711,0.711,5,-6.243,1,0.406,0.102,0,0.138,0.663,173.945,4
Viva Latino_38,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,243716,89,False,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
Viva Latino_39,spotify:track:4dLIAE3xbJLoiIBbKkZWJk,The Rudeboyz,Ojalá,189080,73,False,0.765,0.624,7,-4.932,1,0.0929,0.325,0,0.104,0.277,92.984,4
Viva Latino_40,spotify:track:0rvbMTIWwMZaMC9UnubDPb,Mora,DOMINGO DE BOTE,190745,74,False,0.813,0.772,0,-4.921,1,0.117,0.121,0,0.0886,0.443,119.99,4
Viva Latino_41,spotify:track:7it0u6IGJQLRX9Q9q7vgOj,Wisin & Yandel,Vapor,208894,71,False,0.803,0.779,11,-4.449,0,0.0694,0.066,2.23e-05,0.111,0.317,94.009,4
Viva Latino_42,spotify:track:6TBzRwnX2oYd8aOrOuyK1p,Oscar Maydon,Fin de Semana,224920,85,False,0.699,0.541,0,-4.943,1,0.0826,0.0628,0,0.0916,0.365,98.395,4
Viva Latino_43,spotify:track:3Ne5uYDFzHEFYAPbaBMIck,Maria Becerra,AUTOMÁTICO,175317,76,False,0.68,0.808,10,-3.854,0,0.224,0.0911,2.23e-06,0.205,0.868,176.131,4
Viva Latino_44,spotify:track:3kUq4sBcmxhnOtNysZ9yrp,Feid,Feliz Cumpleaños Ferxxo,156400,82,False,0.87,0.55,5,-5.537,1,0.0722,0.102,0,0.293,0.566,95.019,4
Viva Latino_45,spotify:track:3LWay44eeYFEh27Gf1UA7J,RENEE,Nunca Tristes (Me Vale Madre),204826,74,True,0.726,0.544,2,-4.44,1,0.229,0.44,3.56e-05,0.124,0.613,178.117,4
Viva Latino_46,spotify:track:0kTMK4gNFfLXaTb62w1UaJ,Pablito Pesadilla,BABY OTAKU,176470,77,True,0.835,0.747,9,-4.65,1,0.083,0.0492,0,0.055,0.432,102.003,4
Viva Latino_47,spotify:track:1caKQ2Nqtr1eoczaB83cUz,Tiago PZK,Bemaste,144428,74,False,0.406,0.418,9,-6.302,0,0.0366,0.551,0,0.0737,0.468,126.264,4
Viva Latino_48,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,213061,87,False,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,4
Viva Latino_49,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Marília Mendonça,Leão,166774,86,False,0.743,0.865,6,-3.897,1,0.0315,0.449,3.05e-06,0.297,0.794,129.999,4
Are & Be_0,spotify:track:7eQpbVg3tjHmtdOlAHxaTr,Beyoncé,CUFF IT - WETTER REMIX,249406,61,True,0.66,0.688,7,-6.34,1,0.0564,0.434,0,0.489,0.65,118.05,4
Are & Be_1,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,201800,87,True,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
Are & Be_2,spotify:track:3MlQPB0wJuopo3NTZGlMpI,NxWorries,Where I Go (feat. H.E.R.),201026,66,True,0.62,0.396,1,-15.498,0,0.206,0.735,0.000985,0.0976,0.774,87.865,4
Are & Be_3,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,195373,90,False,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,4
Are & Be_4,spotify:track:2zuDMKJ2rSgCMtJknUJBZ9,Ella Mai,This Is,206429,61,False,0.483,0.492,0,-6.734,0,0.157,0.221,0,0.0907,0.328,168.79,4
Are & Be_5,spotify:track:06dQ2rcBkq7z3AEZ4jhvc2,Chlöe,Pray It Away,156073,66,True,0.611,0.626,7,-5.087,1,0.0778,0.337,0,0.115,0.48,100.129,4
Are & Be_6,spotify:track:47ssddfj7Ug6hO9Ol2AXGu,Jacquees,Tell Me It's Over (feat. Summer Walker & 6LACK),281013,64,True,0.702,0.472,5,-7.282,1,0.0967,0.389,0,0.112,0.39,122.083,4
Are & Be_7,spotify:track:4AwJSk491AvHk2AAJReGzZ,Daniel Caesar,Let Me Go,216524,62,False,0.601,0.481,7,-8.366,0,0.0634,0.689,0.0033,0.109,0.484,152.994,4
Are & Be_8,spotify:track:58cMDjQSUdWJUgFmHxRhjt,Coco Jones,ICU,241624,64,False,0.584,0.453,8,-6.682,1,0.0661,0.753,0,0.111,0.328,124.913,3
Are & Be_9,spotify:track:2dOUErBzFZJ8l7MbV6FcYW,Ari Lennox,Queen Space (with Summer Walker),230841,60,False,0.8,0.614,7,-6.255,0,0.0668,0.174,0.000176,0.0849,0.548,135.018,4
Are & Be_10,spotify:track:6ufcuVInt0ocHrUimDjGlb,Beyoncé,PLASTIC OFF THE SOFA,254319,69,False,0.618,0.712,1,-8.246,1,0.114,0.14,4.53e-06,0.575,0.305,97.057,4
Are & Be_11,spotify:track:6BQrmjAgPfPTwILoFEK3Hd,Kali Uchis,I Wish you Roses,225947,78,False,0.467,0.624,10,-8.511,0,0.0508,0.143,0.000899,0.145,0.31,141.889,4
Are & Be_12,spotify:track:5VRVc5Cq5MbKJG5llJ8XvH,Lucky Daye,"Careful (From The Original Motion Picture ""Magic Mike's Last Dance"")",192787,48,True,0.703,0.537,1,-8.69,1,0.0311,0.0114,0.0013,0.274,0.148,101.959,4
Are & Be_13,spotify:track:1pJsmr01tzKnFfjeCvzcdc,SiR,Nothing Even Matters,219130,64,False,0.545,0.768,4,-5.249,0,0.269,0.46,0,0.118,0.557,115.052,4
Are & Be_14,spotify:track:1eIXYZWEfJO3Na2LCCnIJE,SZA,Love Language,183893,80,True,0.707,0.261,9,-10.139,0,0.0784,0.853,0,0.127,0.545,65.038,4
Are & Be_15,spotify:track:1xTYy3K3hiTcoZfoD7culn,Masego,Say You Want Me,196494,62,False,0.884,0.658,0,-5.94,1,0.134,0.19,0.00164,0.103,0.502,112.978,4
Are & Be_16,spotify:track:1DA2ADZs6O28y2rmdmpekw,Wizkid,2 Sugar (feat. Ayra Starr),187906,70,False,0.914,0.643,6,-3.862,0,0.134,0.0498,0,0.0618,0.764,105.033,4
Are & Be_17,spotify:track:6Vt2v8xwxcGqAOcTKlBeWo,Ari Lennox,Waste My Time,163700,56,True,0.65,0.662,5,-7.555,0,0.0618,0.0287,0,0.34,0.628,77.011,4
Are & Be_18,spotify:track:3ED40EjXiD4plW6UMteKGx,Eric Bellinger,Curious (feat. Fabolous),225882,41,True,0.805,0.616,1,-4.866,1,0.313,0.0495,0,0.0632,0.764,84.978,4
Are & Be_19,spotify:track:1CcorUngVSo7k2GX8GLB53,FLO,Feature Me,201621,60,False,0.731,0.493,6,-4.96,0,0.0581,0.116,8.32e-06,0.0619,0.852,127.03,4
Are & Be_20,spotify:track:3XgGQ1wjo5khvq2UImjyNF,Brent Faiyaz,ALL MINE,216062,79,True,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,4
Are & Be_21,spotify:track:2wSTnntOPRi7aQneobFtU4,SZA,Shirt,181840,82,True,0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,4
Are & Be_22,spotify:track:2rZQC2Hwy4sClylYHg2MXI,Ambré,I'm Baby (ft. Jvck James),202755,58,True,0.521,0.565,11,-9.596,0,0.0681,0.136,1.65e-06,0.134,0.261,114.562,4
Are & Be_23,spotify:track:2Eg5fW5yInLRGszS4s9eN6,Leon Thomas,Breaking Point,293571,61,False,0.507,0.538,1,-7.454,1,0.0643,0.4,1.9e-05,0.161,0.239,111.458,4
Are & Be_24,spotify:track:6q4yusLwjDYEcF6jXHdt7J,Daniel Caesar,Do You Like Me?,227663,74,True,0.714,0.407,11,-6.806,1,0.0422,0.522,0.00618,0.128,0.358,76.978,4
Are & Be_25,spotify:track:5ipyh2SML7XT0dfj38ln2w,Kelela,Enough for Love,265722,49,False,0.363,0.498,9,-11.249,0,0.155,0.367,0.00213,0.638,0.251,75.885,1
Are & Be_26,spotify:track:2z7L8jakEq0POyRdufZCT9,Lucky Daye,Apply Pressure,194066,58,True,0.658,0.644,0,-9.268,0,0.398,0.455,9.71e-06,0.0955,0.37,89.779,4
Are & Be_27,spotify:track:3noiPAHonb3coH4jSVM09i,Jeremih,Changes,153364,60,False,0.745,0.622,7,-6.892,0,0.128,0.0992,0,0.0832,0.557,140.082,4
Are & Be_28,spotify:track:1LPQheJpIsG8rlUkCmZx2D,SAULT,Fight for Love,297717,60,False,0.836,0.411,6,-9.084,0,0.0325,0.42,0.382,0.0913,0.845,90.876,4
Are & Be_29,spotify:track:2prgEUNls0vlOlZoDzTw5m,Mario,Like Her Too,178720,59,True,0.557,0.455,10,-6.469,0,0.0444,0.594,0,0.122,0.584,123.842,3
Are & Be_30,spotify:track:2L85gIDzIGLTmHCRUW2pHR,Vedo,FOREVER,240048,52,False,0.766,0.518,8,-6.527,1,0.0835,0.744,2.23e-05,0.109,0.494,119.906,4
Are & Be_31,spotify:track:2lVYLiHGIX6GajMqYXF1Un,Jessie Reyez,FOREVER (with 6LACK),223157,66,True,0.815,0.606,2,-4.496,0,0.0586,0.543,2.03e-05,0.114,0.484,114.009,4
Are & Be_32,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,The Weeknd,Die For You,260253,85,False,0.582,0.525,1,-7.163,0,0.0627,0.111,0,0.134,0.51,133.249,4
Are & Be_33,spotify:track:7ndcbnVmqORhDBMA0VPt4W,Queen Naija,Let's Talk About It,164053,61,True,0.506,0.531,1,-6.927,1,0.0855,0.53,0,0.108,0.707,136.961,4
Are & Be_34,spotify:track:6y39UI6gdUexBGprn6pQo6,Chlöe,For the Night,205170,63,True,0.462,0.821,5,-3.678,0,0.243,0.216,0,0.137,0.487,79.131,4
Are & Be_35,spotify:track:5BeLd9BErYOPAsHSFIWK3C,Eric Bellinger,Obsession (feat. Muni Long) - Remix,201869,56,False,0.667,0.55,7,-8.533,0,0.0702,0.497,0,0.111,0.49,107.005,3
Are & Be_36,spotify:track:4MbzauKV2ydtZZjLsPcuTF,Mariah the Scientist,Spread Thin,202519,71,False,0.621,0.411,6,-8.261,0,0.0333,0.0553,0,0.0816,0.357,110.113,4
Are & Be_37,spotify:track:2CSRrnOEELmhpq8iaAi9cd,SZA,Blind,150720,83,True,0.461,0.279,9,-11.776,0,0.0373,0.911,0,0.205,0.599,114.225,4
Are & Be_38,spotify:track:3REQkt60mafExNVnJehMdL,Sonder,Make Me Stay,172131,63,True,0.739,0.371,4,-8.152,0,0.0511,0.358,4.27e-05,0.139,0.207,122.033,4
Are & Be_39,spotify:track:2dsbZwFPMYhchakMgL72DD,DESTIN CONRAD,DAYDREAM,181144,58,True,0.723,0.461,4,-9.747,0,0.0776,0.623,4.89e-06,0.237,0.183,117.983,4
Are & Be_40,spotify:track:3K9IrLs25jHtvWjAAFAfav,Diddy,Gotta Move On (feat. Bryson Tiller),160776,64,False,0.699,0.679,9,-4.528,1,0.0556,0.55,0,0.0816,0.56,102.919,4
Are & Be_41,spotify:track:0SSVi1ND8YAk5XpaHOePoo,Chris Brown,Call Me Every Day (feat. Wizkid),146840,54,False,0.73,0.634,4,-7.194,0,0.184,0.111,9.63e-06,0.0986,0.777,171.824,4
Are & Be_42,spotify:track:5HMl6aG4uTWFo8TZvJ7pfn,Muni Long,The Words,173707,56,True,0.769,0.446,6,-6.572,1,0.0717,0.138,0,0.104,0.62,89.975,4
Are & Be_43,spotify:track:4QzljsoizfscCExqa1CDWN,Alex Vaughn,So Be It,189546,58,True,0.733,0.625,6,-5.319,1,0.176,0.166,0,0.118,0.255,132.248,4
Are & Be_44,spotify:track:3FImu2LpSuH6gDHBuFgIbS,Snoh Aalegra,DO 4 LOVE,189462,64,False,0.367,0.142,6,-12.717,0,0.0319,0.913,0.00367,0.107,0.1,69.827,4
Are & Be_45,spotify:track:35ovElsgyAtQwYPYnZJECg,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,196519,83,False,0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,4
Are & Be_46,spotify:track:4bYTTDFnNbakdU9NX8uMKj,Kenyon Dixon,Getting Late,172078,54,False,0.538,0.659,3,-8.122,0,0.234,0.756,0.00044,0.109,0.542,88.791,4
Are & Be_47,spotify:track:2IlT65thKQQw248mhk2PjQ,Brent Faiyaz,JACKIE BROWN,169013,68,True,0.726,0.353,10,-10.273,1,0.105,0.65,0.002,0.224,0.503,137.66,4
Are & Be_48,spotify:track:7r1MqPAD09w24mCUUbxiCI,Giveon,Make You Mine,200191,65,False,0.551,0.37,5,-10.194,0,0.0551,0.87,0,0.122,0.241,137.265,4
Are & Be_49,spotify:track:081Shn2hU3YxvQmGaCPegr,Summer Walker,Unloyal (with Ari Lennox),207294,60,True,0.805,0.51,4,-6.179,0,0.0569,0.0357,0.000469,0.108,0.36,127.983,4
Top 50 - USA_0,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,153946,91,False,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
Top 50 - USA_1,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,PinkPantheress,Boy's a liar Pt. 2,131013,82,False,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
Top 50 - USA_2,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,200454,100,False,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4
Top 50 - USA_3,spotify:track:59uQI0PADDKeE6UZDTJEe8,Morgan Wallen,Last Night,163854,82,True,0.517,0.675,6,-5.382,1,0.0357,0.459,0,0.151,0.518,203.853,4
Top 50 - USA_4,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,123890,88,True,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4
Top 50 - USA_5,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520,93,True,0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4
Top 50 - USA_6,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],182666,88,True,0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,4
Top 50 - USA_7,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake,Rich Flex,239359,90,True,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,3
